1559922459685,-10.900001,12.400001,-46.100002
1559922459741,-7.7000003,18.0,-45.3
1559922459742,-6.2000003,20.5,-44.2
1559922459755,-4.4,24.1,-42.8
1559922459782,-3.8,26.2,-42.9
1559922459792,-1.3000001,27.5,-41.100002
1559922459816,0.8,28.1,-40.5
1559922459849,4.1,29.5,-38.3
1559922459856,5.1,30.9,-37.4
1559922459877,6.0,30.9,-36.2
1559922459900,6.9,31.4,-36.5
1559922459922,7.6,31.6,-35.600002
1559922459946,10.0,32.8,-33.8
1559922459966,11.0,33.0,-33.100002
1559922459985,10.6,34.4,-34.100002
1559922460006,11.900001,34.0,-32.600002
1559922460025,11.5,35.100002,-32.9
1559922460049,11.900001,34.3,-32.0
1559922460071,11.5,36.7,-31.4
1559922460090,11.5,37.2,-30.5
1559922460110,12.400001,38.100002,-27.5
1559922460133,13.0,38.2,-27.800001
1559922460154,13.5,39.2,-26.300001
1559922460175,15.900001,40.4,-22.1
1559922460196,18.1,40.100002,-22.1
1559922460217,19.9,40.4,-20.300001
1559922460238,21.1,40.3,-18.7
1559922460258,23.9,39.2,-17.1
1559922460279,24.5,38.9,-17.1
1559922460301,26.7,37.0,-17.4
1559922460322,28.9,35.5,-16.7
1559922460343,29.2,34.4,-17.2
1559922460367,31.1,33.8,-17.800001
1559922460385,32.4,31.800001,-17.7
1559922460408,33.7,29.800001,-18.7
1559922460428,34.4,27.800001,-19.5
1559922460450,33.9,26.800001,-20.7
1559922460473,33.7,26.4,-23.6
1559922460492,34.0,25.6,-22.4
1559922460515,32.600002,26.0,-25.0
1559922460535,30.9,25.5,-27.4
1559922460557,30.0,25.9,-28.800001
1559922460579,28.5,26.1,-29.7
1559922460599,27.4,25.300001,-31.2
1559922460620,26.800001,26.300001,-30.9
1559922460641,27.1,26.9,-30.300001
1559922460662,26.6,26.7,-30.300001
1559922460685,26.6,26.5,-30.5
1559922460705,25.800001,26.5,-31.7
1559922460727,27.6,24.9,-30.7
1559922460749,27.7,24.300001,-31.800001
1559922460769,27.800001,22.1,-31.7
1559922460791,28.7,23.5,-31.7
1559922460811,30.9,24.800001,-29.5
1559922460832,30.6,26.300001,-29.2
1559922460853,29.7,27.2,-30.1
1559922460874,28.1,27.300001,-30.9
1559922460895,27.1,26.9,-35.0
1559922460916,26.1,26.2,-33.100002
1559922460937,26.7,25.800001,-34.9
1559922460958,24.9,25.9,-35.2
1559922460979,23.6,25.4,-36.600002
1559922461001,23.1,25.5,-35.3
1559922461022,21.9,25.5,-35.9
1559922461043,20.4,26.300001,-37.2
1559922461064,19.4,25.800001,-36.600002
1559922461085,19.1,25.800001,-36.4
1559922461107,17.7,26.300001,-36.600002
1559922461127,15.8,28.2,-36.5
1559922461149,16.5,28.0,-36.9
1559922461170,18.4,27.4,-34.5
1559922461191,19.300001,27.2,-34.7
1559922461213,20.2,27.2,-34.8
1559922461233,21.0,27.7,-32.4
1559922461254,22.5,26.9,-32.100002
1559922461275,21.9,27.0,-32.4
1559922461297,22.9,26.7,-31.5
1559922461318,24.0,25.9,-30.7
1559922461340,25.0,26.2,-31.1
1559922461361,26.4,25.4,-31.300001
1559922461384,26.7,24.7,-31.300001
1559922461404,27.2,23.5,-31.2
1559922461427,27.5,23.5,-30.7
1559922461447,27.0,22.7,-31.9
1559922461468,27.1,23.2,-32.4
1559922461489,28.1,23.2,-32.2
1559922461510,28.9,23.1,-31.7
1559922461531,28.800001,22.9,-31.300001
1559922461552,30.2,23.4,-30.5
1559922461573,29.5,24.300001,-30.2
1559922461594,30.4,25.5,-28.6
1559922461616,30.7,26.2,-29.6
1559922461637,30.6,26.2,-27.4
1559922461658,30.800001,25.6,-28.1
1559922461680,29.2,26.2,-28.800001
1559922461700,27.9,26.5,-28.800001
1559922461724,25.1,27.6,-31.2
1559922461744,25.0,27.5,-31.4
1559922461764,24.2,27.6,-32.2
1559922461786,23.2,26.9,-32.0
1559922461807,22.800001,26.7,-33.5
1559922461828,20.7,26.1,-33.9
1559922461850,19.7,26.2,-36.2
1559922461870,18.4,25.6,-35.9
1559922461892,18.300001,25.800001,-34.9
1559922461913,18.0,25.7,-35.600002
1559922461934,17.0,26.300001,-36.3
1559922461955,14.3,27.7,-33.2
1559922461976,11.7,29.0,-34.600002
1559922461997,10.1,29.800001,-33.9
1559922462018,7.2000003,31.300001,-34.0
1559922462040,4.9,31.800001,-32.4
1559922462061,2.2,32.3,-31.6
1559922462082,-2.2,35.5,-29.7
1559922462107,-3.8,36.0,-28.800001
1559922462124,-6.2000003,37.7,-26.7
1559922462146,-7.9,37.8,-23.4
1559922462167,-10.2,39.5,-22.5
1559922462188,-11.7,40.9,-17.4
1559922462210,-13.900001,40.9,-15.900001
1559922462230,-16.7,39.8,-13.400001
1559922462253,-19.9,40.5,-16.1
1559922462274,-19.1,39.4,-16.0
