1560882742397,-3.0753522,5.1200004,7.489063
1560882742407,-2.597709,4.9919105,7.9391727
1560882742430,-1.780089,5.529409,8.090008
1560882742450,-1.1755531,5.613206,8.700529
1560882742472,-1.4281414,5.149928,9.585187
1560882742494,-2.1452048,4.8722005,9.986216
1560882742514,-2.540248,4.3993454,9.300277
1560882742535,-2.7365725,3.977966,8.972271
1560882742558,-3.728969,3.4093432,9.611523
1560882742578,-2.6048915,3.7588966,8.541314
1560882742646,-1.4915876,4.06296,7.502231
1560882742646,-1.4915876,4.06296,7.502231
1560882742646,-4.3299136,3.940856,7.103596
1560882742646,-1.055843,3.8977604,8.02297
1560882742663,-0.6440403,4.959589,7.787141
1560882742684,0.142455,5.4444146,6.861782
1560882742705,0.78529817,5.8741736,6.585252
1560882742728,0.21068975,5.5725045,7.5788455
1560882742748,-0.47165772,5.2564697,7.0102224
1560882742770,1.447295,4.820725,7.289147
1560882742814,2.3235726,4.3622355,8.119935
1560882742814,2.043451,4.2461166,7.6841903
1560882742833,3.3482912,4.1012673,7.860164
1560882742854,3.5697548,5.3139305,11.486182
1560882742875,3.4093432,5.390545,5.6563015
1560882742896,3.321955,4.8745947,7.69257
1560882742918,0.6799533,3.4488475,7.8865004
1560882742941,3.3985693,4.3993454,5.6203885
1560882742961,1.4197617,3.393781,6.8318543
1560882742982,2.3570917,3.3518825,7.937976
1560882743065,2.5366566,3.5458126,8.4587145
1560882743065,2.3894134,3.9803603,8.683769
1560882743065,2.9317,4.581305,9.452309
1560882743068,2.7281928,4.128801,9.730036
1560882743088,3.2237926,3.775656,10.480618
1560882743108,3.441665,3.2309752,10.287885
1560882743134,1.6340426,2.7126305,9.363723
1560882743154,2.0745757,2.552219,9.637859
1560882743176,1.2808979,2.303222,9.424775
1560882743197,2.2158337,2.895787,9.482236
1560882743273,1.9261353,3.0083144,9.4295635
1560882743273,1.2749124,2.3642743,9.43914
1560882743273,1.411382,2.480393,9.55047
1560882743281,0.90740246,2.541445,6.968324
1560882743302,1.6998832,3.9456444,9.340978
1560882743323,1.3862427,2.2062569,9.894038
