Trial:	/storage/emulated/0/SensorData/Sample_gyroscope_t2.txt
Phone/Tablet Model:	Asus Nexus 7
Sensor Information
Name:	Invensense MPL Gyroscope
Maximum Range:	34.90656rad/sec
Resolution:	0.0010652636rad/sec


Time	X	Y	Z
1475225454958	0.7815837264060974	-0.29888683557510376	-0.8833795785903931
1475225454969	0.7879753112792969	-0.4128701388835907	-0.904684841632843
1475225454976	0.6931667923927307	-0.3201921284198761	-0.7992237210273743
1475225454988	0.5248549580574036	-0.22538359463214874	-0.6277161240577698
1475225455000	0.299018919467926	-0.26692891120910645	-0.5137328505516052
1475225455006	0.08596604317426682	-0.4043480157852173	-0.47538331151008606
1475225455052	-0.07701941579580307	-0.5225923657417297	-0.40188005566596985
1475225455064	-0.1910027116537094	-0.5321797132492065	-0.24848198890686035
1475225455079	-0.2602449059486389	-0.4086090624332428	-0.04075542092323303
1475225455094	-0.3081817924976349	-0.20088250935077667	0.208516463637352
1475225455112	-0.4136429727077484	-0.03789704665541649	0.44713568687438965
1475225455128	-0.5691716074943542	0.06862939149141312	0.6122516989707947
1475225455153	-0.7087212204933167	0.11443576216697693	0.7017338871955872
1475225455167	-0.7950076460838318	0.10271785408258438	0.756062388420105
1475225455188	-0.8141824007034302	0.07928203791379929	0.7752371430397034
1475225455219	-0.8013992309570313	0.05158516392111778	0.7454097270965576
1475225455241	-0.7896813154220581	0.05371569097042084	0.6921464800834656
1475225455253	-0.7587886452674866	0.13574105501174927	0.6388832926750183
1475225455276	-0.6639801263809204	0.2603769898414612	0.5856200456619263
1475225455289	-0.4850156903266907	0.36796870827674866	0.5014641880989075
1475225455310	-0.2900722920894623	0.4393414258956909	0.3555229604244232
1475225455330	-0.15158793330192566	0.41590559482574463	0.21810384094715118
1475225455348	-0.04932254180312157	0.3104444146156311	0.11264266073703766
1475225455368	0.040159668773412704	0.18154741823673248	-0.037559624761343
1475225455393	0.09342288970947266	0.0036482643336057663	-0.18030506372451782
1475225455409	0.13823430240154266	-0.1496661901473999	-0.32200148701667786
1475225455428	0.22665125131607056	-0.210386261343956	-0.5009658932685852
1475225455453	0.37578827142715454	-0.23062628507614136	-0.6351892352104187
1475225455471	0.5419695377349854	-0.20932099223136902	-0.7054966688156128
1475225455488	0.6740623116493225	-0.11664298921823502	-0.7385198473930359
1475225455513	0.7465003132820129	-0.04633554071187973	-0.7140187621116638
1475225455525	0.7475655674934387	-0.04207448288798332	-0.6394502520561218
1475225455547	0.6751275658607483	-0.06444503366947174	-0.5627512335777283
1475225455570	0.5441000461578369	-0.10279455780982971	-0.4999006390571594
1475225455587	0.3907019793987274	-0.12409984320402145	-0.47007322311401367
1475225455608	0.22345545887947083	-0.12303458154201508	-0.4306584596633911
1475225455630	0.043425772339105606	-0.12729564309120178	-0.2932393252849579
1475225455649	-0.08334069699048996	-0.13901354372501373	-0.1441023200750351
1475225455664	-0.10784177482128143	-0.13901354372501373	-0.023727433755993843
1475225455686	-0.0769491121172905	-0.10918614268302917	0.17760753631591797
1475225455708	-0.10890704393386841	-0.02822604589164257	0.5142310857772827
1475225455728	-0.19838924705982208	0.10919306427240372	0.8433977961540222
1475225455751	-0.3176988661289215	0.24341638386249542	1.0234274864196777
1475225455768	-0.43168216943740845	0.34887754917144775	1.096930742263794
